service_id,date,exception_type
Fest Potenz linea 2,20231101,1
Fest,20230409,1
Fest,20230410,1
Fest,20230416,1
Fest,20230423,1
Fest,20230425,1
Fest,20230430,1
Fest,20230501,1
Fest,20230507,1
Fest,20230514,1
Fest,20230521,1
Fest,20230528,1
Fest,20230602,1
Fest,20230604,1
Fest,20230611,1
Fest,20230618,1
Fest,20230625,1
Fest,20230702,1
Fest,20230709,1
Fest,20230716,1
Fest,20230723,1
Fest,20230730,1
Fest,20230806,1
Fest,20230813,1
Fest,20230815,1
Fest,20230820,1
Fest,20230827,1
Fest,20230903,1
Fest,20230910,1
Fest,20230917,1
Fest,20230924,1
Fest,20231001,1
Fest,20231008,1
Fest,20231015,1
Fest,20231022,1
Fest,20231029,1
Fest,20231101,1
Fest,20231105,1
Fest,20231112,1
Fest,20231119,1
Fest,20231126,1
Fest,20231203,1
Fest,20231208,1
Fest,20231210,1
Fest,20231217,1
Fest,20231224,1
Fest,20231225,1
Fest,20231226,1
FestSCMAR,20231029,1
FestSCMAR,20231101,1
IntGcp,20230406,1
IntGcp,20230413,1
IntGcp,20230420,1
IntGcp,20230427,1
IntGcp,20230504,1
IntGcp,20230511,1
IntGcp,20230518,1
IntGcp,20230525,1
IntGcp,20230601,1
IntGcp,20230921,1
IntGcp,20230928,1
IntGcp,20231005,1
IntGcp,20231012,1
IntGcp,20231019,1
IntGcp,20231026,1
IntGcp,20231102,1
IntGcp,20231109,1
IntGcp,20231116,1
IntGcp,20231123,1
IntGcp,20231130,1
IntGcp,20231207,1
IntGcp,20231214,1
IntGcp,20231221,1
IntGcp,20231228,1
IntL-SurbCP,20230406,1
IntL-SurbCP,20230407,1
IntL-SurbCP,20230408,1
IntL-SurbCP,20230411,1
IntL-SurbCP,20230412,1
IntL-SurbCP,20230413,1
IntL-SurbCP,20230414,1
IntL-SurbCP,20230415,1
IntL-SurbCP,20230417,1
IntL-SurbCP,20230418,1
IntL-SurbCP,20230419,1
IntL-SurbCP,20230420,1
IntL-SurbCP,20230421,1
IntL-SurbCP,20230422,1
IntL-SurbCP,20230424,1
IntL-SurbCP,20230426,1
IntL-SurbCP,20230427,1
IntL-SurbCP,20230428,1
IntL-SurbCP,20230429,1
IntL-SurbCP,20230502,1
IntL-SurbCP,20230503,1
IntL-SurbCP,20230504,1
IntL-SurbCP,20230505,1
IntL-SurbCP,20230506,1
IntL-SurbCP,20230508,1
IntL-SurbCP,20230509,1
IntL-SurbCP,20230510,1
IntL-SurbCP,20230511,1
IntL-SurbCP,20230512,1
IntL-SurbCP,20230513,1
IntL-SurbCP,20230515,1
IntL-SurbCP,20230516,1
IntL-SurbCP,20230517,1
IntL-SurbCP,20230518,1
IntL-SurbCP,20230519,1
IntL-SurbCP,20230520,1
IntL-SurbCP,20230522,1
IntL-SurbCP,20230523,1
IntL-SurbCP,20230524,1
IntL-SurbCP,20230525,1
IntL-SurbCP,20230526,1
IntL-SurbCP,20230527,1
IntL-SurbCP,20230529,1
IntL-SurbCP,20230530,1
IntL-SurbCP,20230531,1
IntL-SurbCP,20230601,1
IntL-SurbCP,20230603,1
IntL-SurbCP,20230605,1
IntL-SurbCP,20230606,1
IntL-SurbCP,20230607,1
IntL-SurbCP,20230918,1
IntL-SurbCP,20230919,1
IntL-SurbCP,20230920,1
IntL-SurbCP,20230921,1
IntL-SurbCP,20230922,1
IntL-SurbCP,20230923,1
IntL-SurbCP,20230925,1
IntL-SurbCP,20230926,1
