service_id,day,exception_type
Fest Potenz linea 2,2023-11-01,1
Fest,2023-04-09,1
Fest,2023-04-10,1
Fest,2023-04-16,1
Fest,2023-04-23,1
Fest,2023-04-25,1
Fest,2023-04-30,1
Fest,2023-05-01,1
Fest,2023-05-07,1
Fest,2023-05-14,1
Fest,2023-05-21,1
Fest,2023-05-28,1
Fest,2023-06-02,1
Fest,2023-06-04,1
Fest,2023-06-11,1
Fest,2023-06-18,1
Fest,2023-06-25,1
Fest,2023-07-02,1
Fest,2023-07-09,1
Fest,2023-07-16,1
Fest,2023-07-23,1
Fest,2023-07-30,1
Fest,2023-08-06,1
Fest,2023-08-13,1
Fest,2023-08-15,1
Fest,2023-08-20,1
Fest,2023-08-27,1
Fest,2023-09-03,1
Fest,2023-09-10,1
Fest,2023-09-17,1
Fest,2023-09-24,1
Fest,2023-10-01,1
Fest,2023-10-08,1
Fest,2023-10-15,1
Fest,2023-10-22,1
Fest,2023-10-29,1
Fest,2023-11-01,1
Fest,2023-11-05,1
Fest,2023-11-12,1
Fest,2023-11-19,1
Fest,2023-11-26,1
Fest,2023-12-03,1
Fest,2023-12-08,1
Fest,2023-12-10,1
Fest,2023-12-17,1
Fest,2023-12-24,1
Fest,2023-12-25,1
Fest,2023-12-26,1
IntGcp,2023-04-06,1
IntGcp,2023-04-13,1
IntGcp,2023-04-20,1
IntGcp,2023-04-27,1
IntGcp,2023-05-04,1
IntGcp,2023-05-11,1
IntGcp,2023-05-18,1
IntGcp,2023-05-25,1
IntGcp,2023-06-01,1
IntGcp,2023-09-21,1
IntGcp,2023-09-28,1
IntGcp,2023-10-05,1
IntGcp,2023-10-12,1
IntGcp,2023-10-19,1
IntGcp,2023-10-26,1
IntGcp,2023-11-02,1
IntGcp,2023-11-09,1
IntGcp,2023-11-16,1
IntGcp,2023-11-23,1
IntGcp,2023-11-30,1
IntGcp,2023-12-07,1
IntGcp,2023-12-14,1
IntGcp,2023-12-21,1
IntGcp,2023-12-28,1
IntL-SurbCP,2023-04-06,1
IntL-SurbCP,2023-04-07,1
IntL-SurbCP,2023-04-08,1
IntL-SurbCP,2023-04-11,1
IntL-SurbCP,2023-04-12,1
IntL-SurbCP,2023-04-13,1
IntL-SurbCP,2023-04-14,1
IntL-SurbCP,2023-04-15,1
IntL-SurbCP,2023-04-17,1
IntL-SurbCP,2023-04-18,1
IntL-SurbCP,2023-04-19,1
IntL-SurbCP,2023-04-20,1
IntL-SurbCP,2023-04-21,1
IntL-SurbCP,2023-04-22,1
IntL-SurbCP,2023-04-24,1
IntL-SurbCP,2023-04-26,1
IntL-SurbCP,2023-04-27,1
IntL-SurbCP,2023-04-28,1
IntL-SurbCP,2023-04-29,1
IntL-SurbCP,2023-05-02,1
IntL-SurbCP,2023-05-03,1
IntL-SurbCP,2023-05-04,1
IntL-SurbCP,2023-05-05,1
IntL-SurbCP,2023-05-06,1
IntL-SurbCP,2023-05-08,1
IntL-SurbCP,2023-05-09,1
IntL-SurbCP,2023-05-10,1
IntL-SurbCP,2023-05-11,1
IntL-SurbCP,2023-05-12,1
IntL-SurbCP,2023-05-13,1
IntL-SurbCP,2023-05-15,1
IntL-SurbCP,2023-05-16,1
IntL-SurbCP,2023-05-17,1
IntL-SurbCP,2023-05-18,1
IntL-SurbCP,2023-05-19,1
IntL-SurbCP,2023-05-20,1
IntL-SurbCP,2023-05-22,1
IntL-SurbCP,2023-05-23,1
IntL-SurbCP,2023-05-24,1
